Short Window,Long Window,Total Return,Annualized Return,Max Drawdown,Sharpe Ratio
10,50,-0.017136448369794555,-0.005742533230303494,-0.3293617218968294,-0.021737204876678698
10,100,-0.19563164483689022,-0.06555741289746853,-0.45319025483764047,-0.25540385718212955
10,150,-0.13158810550340527,-0.04409601407826879,-0.39784011328312563,-0.17487229019003314
20,50,-0.3214173849426768,-0.10770901729462042,-0.4846420106687367,-0.40784516054548026
20,100,-0.13174748008437676,-0.04414942151763689,-0.5142651789148731,-0.17198869739095282
20,150,-0.08149025790779862,-0.027307905575485708,-0.39636915247548915,-0.10829135543755956
30,50,-0.26904159875468536,-0.09015755702949563,-0.48169586153197624,-0.34135197931411615
30,100,-0.18689845098667535,-0.06263086389447099,-0.5105347664097764,-0.2439996112573523
30,150,-0.3223669169334332,-0.10802721152556538,-0.5354016801816655,-0.42853553640949194
