Short Window,Long Window,Total Return,Annualized Return,Max Drawdown,Sharpe Ratio
10,50,-0.017137319079871927,-0.005742825010808146,-0.3293616804721922,-0.021738310068693582
10,100,-0.19563254745665803,-0.06555771537111413,-0.4531905612493379,-0.25540503756762345
10,150,-0.13158816595085276,-0.044096034334594275,-0.39783995846320963,-0.17487235614442312
20,50,-0.32141724856947695,-0.10770897159509069,-0.4846422510016998,-0.40784500078312325
20,100,-0.13174746533835457,-0.044149416576150735,-0.5142649785374321,-0.17198867926896688
20,150,-0.08149056475755356,-0.027308008402797204,-0.3963690407301881,-0.10829175431708787
30,50,-0.26904014411036636,-0.09015706956889938,-0.4816953598241614,-0.341350144059348
30,100,-0.1868987156129156,-0.0626309525724132,-0.5105348440828589,-0.24399995841767405
30,150,-0.3223668909687859,-0.10802720282464634,-0.5354016878636091,-0.4285354665926926
