Short Window,Long Window,Total Return,Annualized Return,Max Drawdown,Sharpe Ratio
10,50,-0.19146606825104684,-0.0641615015947657,-0.6617086071455418,-0.11555853193739371
10,100,-0.9012401212582943,-0.3020113172301731,-0.8274729947934144,-0.5607769848041082
10,150,-0.42446424357982837,-0.1422406773698361,-0.7497083631122082,-0.26767823449285905
20,50,-0.7821919039174284,-0.2621174997170106,-0.7492100867220397,-0.4722852323432791
20,100,-0.7557856730196357,-0.25326860319275024,-0.8287862945113833,-0.4701839680477461
20,150,-0.6154168489647965,-0.20623011428075627,-0.8120591894449803,-0.3881588368565307
30,50,-1.2327754216084021,-0.4131109125602624,-0.8950361023105148,-0.7448362482564702
30,100,-1.4455037974208222,-0.4843975491357011,-0.9145452041837694,-0.9003181475532579
30,150,-0.7922071734690758,-0.2654736804710201,-0.8374149937178302,-0.4997632330825342
